clip_name,event_1,event_2,start_time,end_time,start_frame,end_frame,fps
WIVsIND_boundary_celebration_0:00:08.mp4,boundary,celebration,0:00:08,0:00:14,240,420,30.0
WIVsIND_boundary_celebration_0:00:09.mp4,boundary,celebration,0:00:09,0:00:15,270,450,30.0
WIVsIND_catch_celebration_0:00:12.mp4,catch,celebration,0:00:12,0:00:18,360,540,30.0
WIVsIND_boundary_celebration_0:00:13.mp4,boundary,celebration,0:00:13,0:00:19,390,570,30.0
WIVsIND_boundary_celebration_0:00:13.mp4,boundary,celebration,0:00:13,0:00:19,390,570,30.0
WIVsIND_boundary_celebration_0:00:13.mp4,boundary,celebration,0:00:13,0:00:19,390,570,30.0
WIVsIND_boundary_celebration_0:00:13.mp4,boundary,celebration,0:00:13,0:00:19,390,570,30.0
WIVsIND_boundary_celebration_0:00:13.mp4,boundary,celebration,0:00:13,0:00:19,390,570,30.0
WIVsIND_boundary_celebration_0:00:13.mp4,boundary,celebration,0:00:13,0:00:19,390,570,30.0
WIVsIND_catch_celebration_0:00:27.mp4,catch,celebration,0:00:27,0:00:33,810,990,30.0
WIVsIND_catch_celebration_0:02:21.mp4,catch,celebration,0:02:21,0:02:27,4230,4410,30.0
WIVsIND_boundary_celebration_0:02:24.mp4,boundary,celebration,0:02:24,0:02:30,4320,4500,30.0
WIVsIND_boundary_celebration_0:02:25.mp4,boundary,celebration,0:02:25,0:02:31,4350,4530,30.0
WIVsIND_boundary_celebration_0:02:25.mp4,boundary,celebration,0:02:25,0:02:31,4350,4530,30.0
WIVsIND_boundary_celebration_0:02:25.mp4,boundary,celebration,0:02:25,0:02:31,4350,4530,30.0
WIVsIND_boundary_celebration_0:02:25.mp4,boundary,celebration,0:02:25,0:02:31,4350,4530,30.0
WIVsIND_catch_celebration_0:03:03.mp4,catch,celebration,0:03:03,0:03:09,5490,5670,30.0
WIVsIND_catch_celebration_0:04:48.mp4,catch,celebration,0:04:48,0:04:54,8640,8820,30.0
WIVsIND_catch_celebration_0:04:48.mp4,catch,celebration,0:04:48,0:04:54,8640,8820,30.0
WIVsIND_catch_celebration_0:05:04.mp4,catch,celebration,0:05:04,0:05:10,9120,9300,30.0
WIVsIND_catch_celebration_0:05:06.mp4,catch,celebration,0:05:06,0:05:12,9180,9360,30.0
WIVsIND_catch_celebration_0:05:07.mp4,catch,celebration,0:05:07,0:05:13,9210,9390,30.0
WIVsIND_catch_celebration_0:05:07.mp4,catch,celebration,0:05:07,0:05:13,9210,9390,30.0
WIVsIND_catch_celebration_0:05:07.mp4,catch,celebration,0:05:07,0:05:13,9210,9390,30.0
